Date,Title,URL,md_file
2026-03-13,Secretariat Director - Asia/Pacific Group,https://www.apsjobs.gov.au/s/job-details?title=secretariat-director-asia-pacific-group&Id=a05OY00000MqoX7YAJ,1.md
2026-03-12,Senior Rehabilitation Advisor,https://www.apsjobs.gov.au/s/job-details?title=senior-rehabilitation-advisor&Id=a05OY00000MlOBtYAN,2.md
2026-03-12,Senior Rehabilitation Advisor (Affirmative measure - Disability employment),https://www.apsjobs.gov.au/s/job-details?title=senior-rehabilitation-advisor-affirmative-measure-disability-employment-&Id=a05OY00000Ml5dtYAB,3.md
2026-03-12,Senior Internal Auditor,https://www.apsjobs.gov.au/s/job-details?title=senior-internal-auditor&Id=a05OY00000MkrKnYAJ,4.md
2026-03-11,Senior Investigator,https://www.apsjobs.gov.au/s/job-details?title=senior-investigator&Id=a05OY00000MlkvZYAR,5.md
2026-03-11,Change Management Lead,https://www.apsjobs.gov.au/s/job-details?title=change-management-lead&Id=a05OY00000MkifiYAB,6.md
2026-03-09,Chief Information Officer,https://www.apsjobs.gov.au/s/job-details?title=chief-information-officer&Id=a05OY00000MeT9tYAF,7.md
2026-03-09,"EL2 - Director, Strategy and Architecture",https://www.apsjobs.gov.au/s/job-details?title=el2-director-strategy-and-architecture&Id=a05OY00000Md25JYAR,8.md
2026-03-06,"Assistant Director, Systems Administration and Configuration (TechnologyOne)",https://www.apsjobs.gov.au/s/job-details?title=assistant-director-systems-administration-and-configuration-technologyone-&Id=a05OY00000MYXXxYAP,9.md
2026-03-05,ASD EL1 Lead Data Centre Administrator,https://www.apsjobs.gov.au/s/job-details?title=asd-el1-lead-data-centre-administrator&Id=a05OY00000MNs6HYAT,10.md
2026-03-04,Senior Manager People & Culture,https://www.apsjobs.gov.au/s/job-details?title=senior-manager-people-culture&Id=a05OY00000MUnUsYAL,11.md
2026-03-03,2027 Defence Graduate Program - Engineering Pathway,https://www.apsjobs.gov.au/s/job-details?title=2027-defence-graduate-program-engineering-pathway&Id=a05OY00000MNu9kYAD,12.md
2026-03-02,Assistant Director Strategic Policy,https://www.apsjobs.gov.au/s/job-details?title=assistant-director-strategic-policy&Id=a05OY00000MNfU3YAL,13.md
2026-03-02,Graduate Program,https://www.apsjobs.gov.au/s/job-details?title=graduate-program&Id=a05OY00000MKp89YAD,14.md
2026-02-23,Commonwealth Solicitor for Public Prosecutions (CSPP),https://www.apsjobs.gov.au/s/job-details?title=commonwealth-solicitor-for-public-prosecutions-cspp-&Id=a05OY00000M4idhYAB,15.md
2026-03-10,"Project Officer, Energy Management & Climate Adaptation",https://www.seek.com.au/job/90836383?type=standard&ref=search-standalone&origin=jobCard#sol=3b6539a8f01f0a99da3294299693b1eb0ecdcd51,16.md
2026-03-10,"Project Officer, Energy Management & Climate Adaptation",https://www.seek.com.au/job/90836380?type=standard&ref=search-standalone&origin=cardTitle#sol=051d38821e20ccdbd15deb5bbd8a049ef85fbfdf,17.md
2026-03-10,"Project Officer, Energy Management & Climate Adaptation",https://www.seek.com.au/job/90836369?type=standard&ref=search-standalone&origin=jobCard#sol=6206a184bbd03eb8270be8f1dc5e889f97571cc5,18.md
2026-03-10,Manager,https://www.seek.com.au/job/90853966?type=standard&ref=search-standalone&origin=jobCard#sol=54f120482f18f28fdb03958429578fcf34d95606,19.md
2026-03-10,Graduate Environmental Consultant,https://www.seek.com.au/job/90875349?type=standard&ref=search-standalone&origin=jobCard#sol=1e77d334792eceb1665c5cecc220777abccf0729,20.md
2026-03-10,Coastal Project Officer,https://www.seek.com.au/job/90824170?type=standard&ref=search-standalone&origin=jobCard#sol=595dd8b7ca9eea7fcad6896800401a46e54df782,21.md
2026-03-10,Environment Protection Officer,https://www.seek.com.au/job/90855620?type=standard&ref=search-standalone&origin=jobCard#sol=7781d88f40a4a593c1d87940164eb0c837ce3822,22.md
2026-03-10,Various Roles - Compliance Branch,https://www.seek.com.au/job/90856894?type=standard&ref=search-standalone&origin=jobCard#sol=1b64ea17388d58487ec5c60e72c0f20fd15467b8,23.md
2026-03-10,Specialist Environment | Adelaide Office | 5/2 Roster,https://www.seek.com.au/job/90858421?type=standard&ref=search-standalone&origin=cardTitle#sol=c0835cc58511ff117e4be4c88ba515f00f02f5b7,24.md
2026-03-10,Environmental Consultant,https://www.seek.com.au/job/90836365?type=standard&ref=search-standalone&origin=cardTitle#sol=25a7f6c9d856b34c5f08036f50c7aa511058afcb,25.md
2026-03-11,Senior Environmental Planner,https://www.seek.com.au/job/90733313?type=standard&ref=search-standalone&origin=jobCard#sol=1f60ff894b62d03b5564c763f955e4de2b8f90ca,26.md
2026-03-13,Data/Analytics Engineer - Data Innovation and Tools,https://www.apsjobs.gov.au/s/job-details?title=data-analytics-engineer-data-innovation-and-tools&Id=a05OY00000MrMLtYAN,27.md
2026-03-13,"EL2 - Director, Financial Operations",https://www.apsjobs.gov.au/s/job-details?title=el2-director-financial-operations&Id=a05OY00000MrKyPYAV,28.md
