Date,Title,URL,URL_selector
2026-05-29,Sustainability Manager,https://au.seek.com/job/92411079?type=standard&ref=search-standalone&origin=cardTitle#sol=6e736c45fb3084c0c3b1d250597914b74ae88163,section:nth-of-type(1)
2026-05-28,Executive Manager Environment & Resilience,https://au.seek.com/job/92371189?type=standard&ref=search-standalone&origin=jobCard#sol=95be13dced86dcb53d99974cca7c6102fc3e83c2,div:nth-of-type(1)
2026-05-28,Environment Protection Officer,https://au.seek.com/job/92379149?type=standard&ref=search-standalone&origin=cardTitle#sol=8df64faa119f09107a1b6bcf11497e3e181a2ade,div:nth-of-type(1)
2026-05-27,Senior Scientist Estuarine B&E,https://au.seek.com/job/92363761?type=standard&ref=search-standalone&origin=jobCard#sol=a9726f600f95a68ae6cd159ac074f2d6bf12792c,section:nth-of-type(1)
2026-05-28,Manager – Environmental Markets,https://au.seek.com/job/92371874?type=standard&ref=search-standalone&origin=cardTitle#sol=0f7c60f3aab306c22b8095ceb72a9d2fdbf0abbb,div:nth-of-type(1)
2026-05-29,"Deputy Director-General Capability, Corporate Management and Transformation",https://www.apsjobs.gov.au/s/job-details?title=deputy-director-general-capability-corporate-management-and-transformation&Id=a05OY00000OrdwfYAB,article:nth-of-type(1)
2026-05-28,Assistant Director - Environment and Sustainability,https://www.apsjobs.gov.au/s/job-details?title=assistant-director-environment-and-sustainability&Id=a05OY00000OjR7tYAF,article:nth-of-type(1)
2026-05-28,Base Support Officers and Estate Management & Planning Officers,https://www.apsjobs.gov.au/s/job-details?title=base-support-officers-and-estate-management-planning-officers&Id=a05OY00000OhsddYAB,section:nth-of-type(1)
2026-05-25,Property Officer,https://www.apsjobs.gov.au/s/job-details?title=property-officer&Id=a05OY00000OjqmDYAR,section:nth-of-type(1)
2026-05-25,Property Services Officer,https://www.apsjobs.gov.au/s/job-details?title=property-services-officer&Id=a05OY00000OaZsfYAF,article:nth-of-type(1)
2026-05-22,EL2 Director Internal Review,https://www.apsjobs.gov.au/s/job-details?title=el2-director-internal-review&Id=a05OY00000OjydJYAR,article:nth-of-type(1)
2026-05-22,Director (EL2) and Assistant Director (EL1) Nuclear Security,https://www.apsjobs.gov.au/s/job-details?title=director-el2-and-assistant-director-el1-nuclear-security&Id=a05OY00000OidkcYAB,article:nth-of-type(1)
2026-05-22,Agency Security Officer,https://www.apsjobs.gov.au/s/job-details?title=agency-security-officer&Id=a05OY00000Oa5WPYAZ,article:nth-of-type(1)
2026-05-18,Finance Manager - CSIRO Procurement,https://www.apsjobs.gov.au/s/job-details?title=finance-manager-csiro-procurement&Id=a05OY00000OdX37YAF,article:nth-of-type(1)
2026-05-18,Property Services and Capital Projects Managers,https://www.apsjobs.gov.au/s/job-details?title=property-services-and-capital-projects-managers&Id=a05OY00000OcrThYAJ,section:nth-of-type(1)
2026-05-15,Assistant Director,https://www.apsjobs.gov.au/s/job-details?title=assistant-director&Id=a05OY00000Oc49dYAB,article:nth-of-type(1)
2026-05-15,"Assistant Director, Investor Relations",https://www.apsjobs.gov.au/s/job-details?title=assistant-director-investor-relations&Id=a05OY00000ObKBdYAN,article:nth-of-type(1)
2026-05-15,"Deputy Chief Executive Officer, Legal, Actuarial, Governance and Reviews",https://www.apsjobs.gov.au/s/job-details?title=deputy-chief-executive-officer-legal-actuarial-governance-and-reviews&Id=a05OY00000OaWbRYAV,section:nth-of-type(1)
2026-05-15,Estate Strategic Planners,https://www.apsjobs.gov.au/s/job-details?title=estate-strategic-planners&Id=a05OY00000OXODpYAP,section:nth-of-type(1)
2026-05-12,Property Services Support Officer,https://www.apsjobs.gov.au/s/job-details?title=property-services-support-officer&Id=a05OY00000OXa8YYAT,section:nth-of-type(1)
2026-05-29,APS5 Analysts,https://www.apsjobs.gov.au/s/job-details?title=aps5-analysts&Id=a05OY00000OqPR8YAN,section:nth-of-type(1)
2026-05-29,Expeditioner Services Team Coordinator,https://www.apsjobs.gov.au/s/job-details?title=expeditioner-services-team-coordinator&Id=a05OY00000OqIpRYAV,section:nth-of-type(1)
2026-05-29,APS4 Analysts,https://www.apsjobs.gov.au/s/job-details?title=aps4-analysts&Id=a05OY00000qDbGYAV,section:nth-of-type(1)
2026-05-28,"APS6 - Project Manager, Community Assets and Works",https://www.apsjobs.gov.au/s/job-details?title=aps6-project-manager-community-assets-and-works&Id=a05OY00000OpDOoYAN,section:nth-of-type(1)
