original,normalized
https://www.ato.gov.au/media-centre/speech-to-afr-workforce-summit,https://www.ato.gov.au/media-centre/speech-to-afr-workforce-summit
https://www.ato.gov.au/media-centre/from-hacks-to-half-truths-ato-warns-of-tax-time-misinformation-and-reveals-focus-areas,https://www.ato.gov.au/media-centre/from-hacks-to-half-truths-ato-warns-of-tax-time-misinformation-and-reveals-focus-areas
https://minister.agriculture.gov.au/collins/media-release/media-release-inspector-general-of-animal-welfare-and-live-animal-exports-ashley-bunce,https://minister.agriculture.gov.au/collins/media-release/media-release-inspector-general-of-animal-welfare-and-live-animal-exports-ashley-bunce
https://minister.agriculture.gov.au/collins/media-release/media-release-five-new-export-meat-establishments-approved-for-indonesia,https://minister.agriculture.gov.au/collins/media-release/media-release-five-new-export-meat-establishments-approved-for-indonesia
https://statements.qld.gov.au/statements/104997,https://statements.qld.gov.au/statements/104997
https://statements.qld.gov.au/statements/105007,https://statements.qld.gov.au/statements/105007
https://statements.qld.gov.au/statements/105006,https://statements.qld.gov.au/statements/105006
https://statements.qld.gov.au/statements/105001,https://statements.qld.gov.au/statements/105001
https://statements.qld.gov.au/statements/105000,https://statements.qld.gov.au/statements/105000
https://statements.qld.gov.au/statements/105003,https://statements.qld.gov.au/statements/105003
https://statements.qld.gov.au/statements/104999,https://statements.qld.gov.au/statements/104999
https://statements.qld.gov.au/statements/105002,https://statements.qld.gov.au/statements/105002
https://statements.qld.gov.au/statements/104998,https://statements.qld.gov.au/statements/104998
https://statements.qld.gov.au/statements/104996,https://statements.qld.gov.au/statements/104996
https://statements.qld.gov.au/statements/104980,https://statements.qld.gov.au/statements/104980
https://statements.qld.gov.au/statements/104975,https://statements.qld.gov.au/statements/104975
https://resources.vic.gov.au/about-us/news/advancing-the-potential-for-antimony-processing,https://resources.vic.gov.au/about-us/news/advancing-the-potential-for-antimony-processing
https://resources.vic.gov.au/about-us/news/securing-future-quarry-resources,https://resources.vic.gov.au/about-us/news/securing-future-quarry-resources
https://www.agriculture.gov.au/about/news/inaugural-nbs-annual-report-released,https://www.agriculture.gov.au/about/news/inaugural-nbs-annual-report-released
https://www.agriculture.gov.au/about/news/detector-dog-teams-protect,https://www.agriculture.gov.au/about/news/detector-dog-teams-protect
https://www.dss.gov.au/news/new-urban-farming-project-increase-food-access,https://www.dss.gov.au/news/new-urban-farming-project-increase-food-access
https://www.dss.gov.au/news/launch-national-child-and-family-investment-strategy,https://www.dss.gov.au/news/launch-national-child-and-family-investment-strategy
https://www.gov.scot/news/agricultural-industry-profit-increases-in-2025/,https://www.gov.scot/news/agricultural-industry-profit-increases-in-2025/
https://www.gov.scot/news/monthly-gdp-estimates-for-february-4/,https://www.gov.scot/news/monthly-gdp-estimates-for-february-4/
https://www.gov.scot/news/scottish-salmon-and-sea-trout-fishery-statistics-updated-for-2025-season/,https://www.gov.scot/news/scottish-salmon-and-sea-trout-fishery-statistics-updated-for-2025-season/
