Date,Title,URL,md_file,ESG_or_not,Story_Type,Jurisdiction
2026-03-04,AER approves Discover Energy Pty Ltd's application to surrender its gas retailer authorisation,https://www.aer.gov.au/news/articles/communications/aer-approves-discover-energy-pty-ltds-application-surrender-its-gas-retailer-authorisation,1.md,Yes,"Compliance, Oversight, and Enforcement Actions",National
2026-03-05,AEMC proposes improvements to life support customer processes,https://www.aemc.gov.au/news-centre/media-releases/aemc-proposes-improvements-life-support-customer-processes,2.md,Yes,Consultation and Policy Design Opportunities,National
2026-03-08,Supporting women to leave abusive relationships,https://www.gov.scot/news/supporting-women-to-leave-abusive-relationships/,3.md,Yes,Funding and Grant Announcements,International
2026-03-06,Growing Scotland's entrepreneurial economy,https://www.gov.scot/news/growing-scotlands-entrepreneurial-economy-2/,4.md,No,,
2026-03-05,New law supports digital economy,https://www.gov.scot/news/new-law-supports-digital-economy/,5.md,No,,
2026-03-04,Supporting care home residents’ right to visit loved ones,https://www.gov.scot/news/supporting-care-home-residents-right-to-visit-loved-ones-2/,6.md,Yes,Legislative and Statutory Developments,International
2026-03-04,Help for veterans and families,https://www.gov.scot/news/help-for-veterans-and-families/,7.md,Yes,Funding and Grant Announcements,International
2026-03-04,Cheaper bus travel for Highland communities,https://www.gov.scot/news/cheaper-bus-travel-for-highland-communities/,8.md,Yes,"Infrastructure, Project Approvals, and EPBC Developments",International
2026-03-04,Improving delivery across health and social care,https://www.gov.scot/news/improving-delivery-across-health-and-social-care/,9.md,Yes,Legislative and Statutory Developments,International
2026-03-04,Accelerating growth in Grangemouth,https://www.gov.scot/news/accelerating-growth-in-grangemouth/,10.md,Yes,Funding and Grant Announcements,International
2026-03-03,Modernising Scotland's contract law,https://www.gov.scot/news/modernising-scotlands-contract-law/,11.md,No,,
2026-03-03,Investing in Ferguson Marine,https://www.gov.scot/news/investing-in-ferguson-marine/,12.md,No,,
2026-03-05,Ballarat pavilion to kick goals for local athletes,https://www.rdv.vic.gov.au/news/ballarat-pavilion-to-kick-goals-for-local-athletes,13.md,Yes,Funding and Grant Announcements,Victoria
2026-03-04,Innovative glasshouse ready to grow,https://www.rdv.vic.gov.au/news/innovative-glasshouse-ready-to-grow,14.md,Yes,Corporate and Institutional ESG Actions,Victoria
2026-03-02,Happy trails for locals and visitors in Leongatha,https://www.rdv.vic.gov.au/news/happy-trails-for-locals-and-visitors-in-leongatha,15.md,Yes,Funding and Grant Announcements,Victoria
2026-03-02,Grants to support development of processing facility,https://resources.vic.gov.au/about-us/news/grants-to-support-development-of-processing-facility,16.md,Yes,Funding and Grant Announcements,Victoria
2026-03-05,California sues Trump over his unlawful use of tariffs — again,https://www.gov.ca.gov/2026/03/05/california-sues-trump-over-his-unlawful-use-of-tariffs-again/,17.md,Yes,Legislative and Statutory Developments,International
2026-03-05,"Trump pardons wipe nearly $2 billion in victim repayment and taxpayer recovery for Medicare and tax fraud, and more",https://www.gov.ca.gov/2026/03/05/trumpcriminals3/,18.md,No,,
2026-03-02,"Governor Newsom announces new CARE Court accountability measures to get more chronically mentally ill off our streets, awards $291 million in funding for services and housing",https://www.gov.ca.gov/2026/03/02/governor-newsom-announces-new-care-court-accountability-measures-to-get-more-chronically-mentally-ill-off-our-streets-awards-291-million-in-funding-for-services-and-housing/,19.md,Yes,Funding and Grant Announcements,International
2026-03-06,"Following Kristi Noem’s firing, Governor Newsom demands DHS redirect funding from Noem’s failed ad campaign to LA recovery",https://www.gov.ca.gov/2026/03/06/following-kristi-noems-firing-governor-newsom-demands-dhs-redirect-funding-from-noems-failed-ad-campaign-to-la-recovery/,20.md,Yes,Funding and Grant Announcements,National
2026-03-06,Governor Newsom announces major transformation of six vacant buildings in Los Angeles County into mental health and housing communities,https://www.gov.ca.gov/2026/03/06/governor-newsom-announces-major-transformation-of-six-vacant-buildings-in-los-angeles-county-into-mental-health-and-housing-communities/,21.md,No,,
2026-03-05,"El Gobernador, el Senado y la Asamblea se comprometen a proteger las elecciones de la intromisión federal de Trump",https://www.gov.ca.gov/2026/03/05/el-gobernador-el-senado-y-la-asamblea-se-comprometen-a-proteger-las-elecciones-de-la-intromision-federal-de-trump/,22.md,No,,
2026-03-05,DINERO GRATIS PARA LA UNIVERSIDAD: Nuevo esfuerzo conecta a estudiantes de colegios comunitarios en California con becas disponibles de CalKIDS,https://www.gov.ca.gov/2026/03/05/dinero-gratis-para-la-universidad-nuevo-esfuerzo-conecta-a-estudiantes-de-colegios-comunitarios-en-california-con-becas-disponibles-de-calkids/,23.md,Yes,Funding and Grant Announcements,International
2026-03-05,Governor Newsom announces over $2 million in funding for small businesses innovating in the Golden State,https://www.gov.ca.gov/2026/03/05/governor-newsom-announces-over-2-million-in-funding-for-small-businesses-innovating-in-the-golden-state/,24.md,Yes,Funding and Grant Announcements,International
2026-03-03,Drier conditions on the horizon after record year,https://www.agriculture.gov.au/about/news/abares-march-reports,25.md,No,,
2026-03-08,Recognising Australia’s female farmers on International Women’s Day,https://www.agriculture.gov.au/about/news/IWD-2026,26.md,Yes,"Community, First Nations, and Social Licence Initiatives",Queensland
2026-03-02,ATO response to Tax Ombudsman’s review of ATO’s management of GIC remission,https://www.ato.gov.au/media-centre/ato-response-to-tax-ombudsmans-review-of-atos-management-of-gic-remission,27.md,No,,
2026-03-03,2026 Distinguished Geoscience Australia Lectures and Public Talk Series has arrived!,https://www.ga.gov.au/news/2026-distinguished-geoscience-australia-lectures-and-public-talk-series-has-arrived,28.md,No,,
2026-03-02,Release of Australia’s Identified Mineral Resources (AIMR) 2025 report,https://www.ga.gov.au/news/release-of-australias-identified-mineral-resources-2025-aimr-report,29.md,Yes,"Reports, Data Releases, and Analytical Insights",National
