Date,Title,URL,FileName,md_file,Event_Description
2026-05-05,UNAA NSW Quarterly Induction Session,https://www.unaansw.org.au/donate,16_www.unaansw.org.au-events.md,1.md,The United Nations Association of Australia (NSW Division) offers the [UNAA NSW Quarterly Induction Session](https://www.unaansw.org.au/donate) to welcome new members and discuss the organisation's goals.
2026-05-07,"First Nations Peoples' Rights Working Group Meeting #2, 2026",https://www.responsibleinvestment.org/events-news/item/first-nations-peoples-rights-working-group-meeting-2-2026,3_www.responsibleinvestment.org-events-news-upcoming-events.md,2.md,"RIAA-hosted [First Nations Peoples' Rights Working Group Meeting #2, 2026](https://www.responsibleinvestment.org/events-news/item/first-nations-peoples-rights-working-group-meeting-2-2026) online focusing on First Nations rights in business and investment, with Temuera Hall presenting."
2026-05-05,Crop protection training series with Fresenius 2026,https://www.erm.com/about/events/crop-protection-training-series-with-fresenius-2026/,13_www.erm.com-about-events.md,3.md,[Crop protection training series with Fresenius 2026](https://www.erm.com/about/events/crop-protection-training-series-with-fresenius-2026/) online training sessions led by ERM in collaboration with Akademie Fresenius on environmental fate and genetic toxicology in crop protection.
2026-05-07,Decarbonization that Pays Off: Value‑Led Strategies for Pharma Supply Chains,https://www.erm.com/about/events/erm-webinar-how-leading-pharma-organizations-are-decarbonizing-their-supply-chain/,13_www.erm.com-about-events.md,4.md,[Decarbonization that Pays Off: Value‑Led Strategies for Pharma Supply Chains](https://www.erm.com/about/events/erm-webinar-how-leading-pharma-organizations-are-decarbonizing-their-supply-chain/) with ERM hosting and Olaf Schatteman presenting on decarbonizing pharma supply chains.
2026-05-06,VIC Roundtable: AASB S2 - Lessons from the first wave of mandatory climate statements,https://www.governanceinstitute.com.au/events/e10441-vic-roundtable-aasb-s2-lessons-from-the-first-wave-of-mandatory-climate-statements/,5_www.governanceinstitute.com.au-events.md,5.md,[VIC Roundtable: AASB S2 – Lessons from the first wave of mandatory climate statements](https://www.governanceinstitute.com.au/events/e10441-vic-roundtable-aasb-s2-lessons-from-the-first-wave-of-mandatory-climate-statements/) is hosted by Governance Institute of Australia and features RSM discussing early climate disclosures and governance implications.
2026-05-07,Governance and Risk Management Forum 2026 - SA,https://www.governanceinstitute.com.au/events/e09664-governance-and-risk-management-forum-2026-sa/,5_www.governanceinstitute.com.au-events.md,6.md,"[Governance and Risk Management Forum 2026 – SA](https://www.governanceinstitute.com.au/events/e09664-governance-and-risk-management-forum-2026-sa/), organized by Governance Institute of Australia, a one-day forum on embedding resilience in governance and risk management."
2026-05-07,NSW Roundtable: AASB S2 - Lessons from the first wave of mandatory climate statements,https://www.governanceinstitute.com.au/events/e10442-nsw-roundtable-aasb-s2-lessons-from-the-first-wave-of-mandatory-climate-statements/,5_www.governanceinstitute.com.au-events.md,7.md,[NSW Roundtable: AASB S2 – Lessons from the first wave of mandatory climate statements](https://www.governanceinstitute.com.au/events/e10442-nsw-roundtable-aasb-s2-lessons-from-the-first-wave-of-mandatory-climate-statements/) organised by Governance Institute of Australia with RSM presenting on early disclosures and board oversight in climate reporting.
2026-05-07,Integrated Resource Planning: What It Is and How Local Governments Can Engage,https://hub.wri.org/events/2026/5/integrated-resource-planning-what-it-and-how-local-governments-can-engage?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,9_www.wri.org-events.md,8.md,"[Integrated Resource Planning: What It Is and How Local Governments Can Engage](https://hub.wri.org/events/2026/5/integrated-resource-planning-what-it-and-how-local-governments-can-engage?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents) by World Resources Institute (WRI) Polsky Center, an online one-hour webinar on IRPs and local government engagement."
2026-05-07,Unpacking National Investment Laws: Dispute settlement,https://www.iisd.org/events/unpacking-national-investment-laws-dispute-settlement,10_www.iisd.org-events.md,9.md,[Unpacking National Investment Laws: Dispute settlement](https://www.iisd.org/events/unpacking-national-investment-laws-dispute-settlement) is an IISD and UNCTAD webinar exploring national investment laws and their dispute settlement provisions.
2026-05-04,OECD InfraDays 2026: Infrastructure Governance and the Blue Dot Network,https://www.oecd.org/en/events/2026/05/oecd-infradays-2026-infrastructure-governance-and-the-blue-dot-network.html,15_www.oecd.org-en-search-events.html.md,10.md,"[OECD InfraDays 2026: Infrastructure Governance and the Blue Dot Network](https://www.oecd.org/en/events/2026/05/oecd-infradays-2026-infrastructure-governance-and-the-blue-dot-network.html) organised by OECD, exploring infrastructure governance and the Blue Dot Network through public discussions and ceremonies."
2026-05-05,Thrive at five: Insights from the new International Early Learning and Child Well-being Study,https://www.oecd.org/en/events/2026/04/thrive-at-five-insights-from-the-new-international-early-learning-and-child-well-being-study.html,15_www.oecd.org-en-search-events.html.md,11.md,"OECD hosts the virtual webinar [Thrive at five: Insights from the new International Early Learning and Child Well-being Study](https://www.oecd.org/en/events/2026/04/thrive-at-five-insights-from-the-new-international-early-learning-and-child-well-being-study.html) to share cross-country findings on early literacy, numeracy, and child well-being."
2026-05-06,The Economic Case for Preventing Mental Ill Health,https://www.oecd.org/en/events/2026/05/the-economic-case-for-preventing-mental-ill-health.html,15_www.oecd.org-en-search-events.html.md,12.md,[The Economic Case for Preventing Mental Ill Health](https://www.oecd.org/en/events/2026/05/the-economic-case-for-preventing-mental-ill-health.html) is a co-hosted OECD and European Commission webinar on preventing mental ill health and its economic impact.
2026-05-06,"Scaling AI: Infrastructure, Data, Capacity Building and AI Chatbots for Social Protection",https://www.oecd.org/en/events/2026/05/Scaling-AI--Infrastructure-Data-Capacity-Building-and-AI-Chatbots-for-Social-Protection.html,15_www.oecd.org-en-search-events.html.md,13.md,"OECD hosts a webinar, [Scaling AI: Infrastructure, Data, Capacity Building and AI Chatbots for Social Protection](https://www.oecd.org/en/events/2026/05/Scaling-AI--Infrastructure-Data-Capacity-Building-and-AI-Chatbots-for-Social-Protection.html), with Dataprev CEO Rodrigo Assumpção on AI-enabled social protection."
2026-05-05,Sydney Directors Workshop: Finding Board Positions,https://www.aicd.com.au/events/all-events/nsw/EVNT-001126.html,4_www.aicd.com.au-events-all-events.html.md,14.md,[Sydney Directors’ Workshop: Finding Board Positions](https://www.aicd.com.au/events/all-events/nsw/EVNT-001126.html) is organized by the Australian Institute of Company Directors and focuses on preparing for board appointments and developing a director career path.
2026-05-05,Adelaide Finding Board Positions,https://www.aicd.com.au/events/all-events/sa/EVNT-001145.html,4_www.aicd.com.au-events-all-events.html.md,15.md,"AICD presents [Adelaide Finding Board Positions](https://www.aicd.com.au/events/all-events/sa/EVNT-001145.html), a workshop helping members explore board opportunities and navigate the director recruitment process."
2026-05-07,Energy Shock and Supply Chain Resilience - Governing for the short and long term,https://www.aicd.com.au/events/all-events/online/EVNT-001202.html,4_www.aicd.com.au-events-all-events.html.md,16.md,[Energy Shock and Supply Chain Resilience - Governing for the short and long term](https://www.aicd.com.au/events/all-events/online/EVNT-001202.html) is an online AICD event featuring a panel on energy shocks and broader supply-chain resilience for Australian boards.
2026-05-07,Mid West Directors Briefing: AI is a Capability (more than a technology),https://www.aicd.com.au/events/all-events/wa/EVNT-001151.html,4_www.aicd.com.au-events-all-events.html.md,17.md,"The Australian Institute of Company Directors (AICD) presents [Mid West Directors’ Briefing: AI is a Capability (more than a technology)](https://www.aicd.com.au/events/all-events/wa/EVNT-001151.html) exploring AI as a governance-relevant capability for boards, in-person or online."
2026-05-03,Moora Moora Coop Visitors' Day - 3rd May 2026,https://www.eventbrite.com.au/e/moora-moora-coop-visitors-day-3rd-may-2026-tickets-1984234385461?aff=ebdssbdestsearch,1_www.eventbrite.com.au-d-australia-events-next-week-sustainability.md,18.md,[Moora Moora Coop Visitors' Day - 3rd May 2026](https://www.eventbrite.com.au/e/moora-moora-coop-visitors-day-3rd-may-2026-tickets-1984234385461?aff=ebdssbdestsearch) by Moora Moora Community Cooperative offers a 2–4pm in-person tour for visitors to meet members and learn about the cooperative.
2026-05-08,Family Fun Club with Little Sprouts - Williams Landing Library Lounge,https://www.eventbrite.com.au/e/family-fun-club-with-little-sprouts-williams-landing-library-lounge-tickets-1983741680768?aff=ebdssbdestsearch,1_www.eventbrite.com.au-d-australia-events-next-week-sustainability.md,19.md,Join [Family Fun Club with Little Sprouts - Williams Landing Library Lounge](https://www.eventbrite.com.au/e/family-fun-club-with-little-sprouts-williams-landing-library-lounge-tickets-1983741680768?aff=ebdssbdestsearch) organized by Wyndham City Libraries for a family-friendly session about growing plants and taking a plant home.
